disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
3130,1998-09-21T00:00:00.000Z,HURRICANE GEORGES (DIRECT FEDERAL ASSIST FIRST 72 HRS),1998-09-20T00:00:00.000Z,1998-09-20T00:00:00.000Z,Emergency,PR,Puerto Rico                   ,Hurricane,1998-09-22T00:00:00.000Z,2005-09-30T00:00:00.000Z,2005-09-16T00:00:00.000Z,cba9f2aa6c4fc8f319aca741dc57d461,2018-03-09T18:42:01.179Z,5aa2d579cb4f0f7020b1787f
1261,1999-01-15T00:00:00.000Z,RIV-SEVERE WINTER WX 12/23/98,1998-12-23T00:00:00.000Z,1998-12-29T00:00:00.000Z,Major Disaster,AL,Alabama                       ,Severe Storm(s),1999-01-15T00:00:00.000Z,2008-09-12T00:00:00.000Z,2008-08-19T00:00:00.000Z,9e292ce3c780a5debefc0da72ddca12f,2018-03-09T18:42:01.183Z,5aa2d579cb4f0f7020b17885
1265,1999-01-25T00:00:00.000Z,"SEVERE WINTER STORMS, ICE AND FREEZING RAIN",1998-12-23T00:00:00.000Z,1998-12-26T00:00:00.000Z,Major Disaster,MS,Mississippi                   ,Severe Ice Storm,1999-01-23T00:00:00.000Z,2010-09-28T00:00:00.000Z,2010-09-21T00:00:00.000Z,f5f70413fbadcf28448ed29c7e2c4d87,2018-03-09T18:42:01.182Z,5aa2d579cb4f0f7020b17884
3129,1998-09-21T00:00:00.000Z,HURRICANE GEORGES (DIRECT FEDERAL ASSIST FIRST 72 HRS),1998-09-21T00:00:00.000Z,1998-09-22T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.    ,Hurricane,1998-09-22T00:00:00.000Z,2003-03-24T00:00:00.000Z,2003-02-27T00:00:00.000Z,55ec33499602908ab8b03af289ca0865,2018-03-09T18:42:01.186Z,5aa2d579cb4f0f7020b1788a
1248,1998-09-24T00:00:00.000Z,HURRICANE GEORGES - 18 SEP 98,1998-09-19T00:00:00.000Z,1998-09-22T00:00:00.000Z,Major Disaster,VI,Virgin Islands of the U.S.    ,Hurricane,1999-02-25T00:00:00.000Z,2011-09-07T00:00:00.000Z,2011-06-07T00:00:00.000Z,c0a87363f61999b64b64e99882181529,2018-03-09T18:42:01.185Z,5aa2d579cb4f0f7020b17889
2256,1999-04-18T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida,Fire,1999-04-29T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-26T00:00:00.000Z,88c59c3ee204bafd293ac8a393ea8a60,2019-10-10T20:03:54.256Z,5aa2d579cb4f0f7020b1788f
2259,1999-04-21T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida,Fire,1999-04-30T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-26T00:00:00.000Z,0b2b8fbbb8279d199924bdc83b3a5343,2019-10-10T20:03:54.258Z,5aa2d579cb4f0f7020b1788e
1257,1998-10-21T00:00:00.000Z,TX-FLOODING 10/18/98,1998-10-17T00:00:00.000Z,1998-11-15T00:00:00.000Z,Major Disaster,TX,Texas                         ,Flood,1998-10-21T00:00:00.000Z,2013-08-19T00:00:00.000Z,2012-06-19T00:00:00.000Z,1d7a6c58aee16a1f03c26cf947f56c77,2018-03-09T18:42:01.192Z,5aa2d579cb4f0f7020b17894
1260,1999-01-15T00:00:00.000Z,SEVERE WINTER STORM,1998-12-23T00:00:00.000Z,1998-12-29T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Severe Storm(s),1998-10-20T00:00:00.000Z,2010-08-30T00:00:00.000Z,2010-08-24T00:00:00.000Z,2c553740a8d5af9e4bd6412cc7b9b232,2018-03-09T18:42:01.191Z,5aa2d579cb4f0f7020b17893
1242,1998-09-04T00:00:00.000Z,HURRICANE BONNIE,1998-08-25T00:00:00.000Z,1998-09-01T00:00:00.000Z,Major Disaster,VA,Virginia                      ,Hurricane,1999-02-24T00:00:00.000Z,2005-06-03T00:00:00.000Z,2005-05-20T00:00:00.000Z,0c51493d72d05b4d3eb2b9cc7a1f08e3,2018-03-09T18:42:01.195Z,5aa2d579cb4f0f7020b17899
