Residential Building Causes -  ROUNDED National Fire Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,,
,* Sum of causes may not equal totals due to rounding.,,,,,,,,,,,,,,,,,
,Notes: ,1) Estimates of <50 indicate insufficient data available to compute estimates;,,,,,,,,,,,,,,,,
,,"2) Beginning in 2012, changes in cooking, electrical malfunction, appliances, and equipment malfunction estimates may be the result of a National Fire Incident Reporting System (NFIRS) edit change (""NFIRS Version 5.0 Design Documentation,"" January 2012, Relational Edit #181, Fire Module, Equipment Involved in Ignition, Page 108, https://www.nfirs.fema.gov/documentation/design/2012/NFIRS_5.0_Design_Documentation_1-2012.pdf). Starting with the 2015 NFIRS data collection, this edit change was reverted back to the way the data were collected prior to 2012.  ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,FIRES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,OVERALL Residential Building Fires - Causes,,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Residential*,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Multifamily*,
,2003,"3,200",700,"2,700","9,400","67,400","3,100","1,600","4,600","3,500","3,000",400,"1,500","3,300","4,000",400,"108,800",
,2004,"3,000",600,"2,800","9,900","71,000","3,000","1,400","4,300","3,400","2,700",400,"1,500","3,300","4,000",400,"111,700",
,2005,"3,300",600,"2,600","8,200","67,200","3,400","1,600","4,500","3,500","2,200",500,"1,300","3,400","4,100",500,"107,000",
,2006,"3,200",700,"3,100","7,800","74,100","3,600","1,800","4,300","3,300","2,300",500,"1,200","3,400","4,100",600,"113,900",
,2007,"3,400",600,"2,700","6,800","68,400","3,300","1,800","3,500","2,700","1,600",500,"1,500","3,100","4,000",700,"104,600",
,2008,"3,300",500,"2,500","7,100","69,400","3,300","1,600","3,200","2,500","1,700",400,"1,400","2,700","3,900",600,"104,100",
,2009,"2,600",400,"2,100","6,300","70,300","2,800","1,300","2,500","2,200","1,500",400,"1,300","2,500","3,500",500,"100,200",
,2010,"2,700",400,"2,300","5,900","71,800","2,900","1,500","2,700","2,600","1,300",400,"1,200","2,800","3,800",500,"102,700",
,2011,"2,800",500,"2,500","5,200","71,700","3,000","1,600","3,000","2,500","1,200",500,"1,300","2,800","3,900",600,"102,800",
,2012,"2,900",500,"3,000","5,500","76,300","2,100","3,100","3,000","2,700","1,200",600,"1,200",400,"2,800",700,"106,000",
,2013,"2,900",400,"2,500","6,000","79,700","2,500","3,200","3,000","2,400","1,300",400,"1,500",300,"2,600",600,"109,300",
,2014,"2,400",300,"2,400","5,800","80,300","2,700","3,000","2,900","2,300","1,300",500,"1,100",400,"2,700",700,"108,700",
,2015,"2,300",300,"2,500","5,300","82,300","2,600","3,000","2,800","2,300","1,300",400,"1,000","1,000","3,200",700,"111,100",
,2016,"2,200",300,"2,300","4,500","78,700","2,500","2,600","2,700","2,300","1,200",400,"1,100","1,100","3,200",700,"105,800",
,2017,"2,200",300,"2,300","4,200","82,200","2,600","2,300","2,600","2,300","1,200",400,"1,200","1,600","3,700",700,"109,600",
,2018,"2,200",300,"2,200","4,300","82,000","2,700","2,200","2,700","2,400","1,200",400,"1,200","1,900","3,800",700,"110,200",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Other Residential Building Fires - Causes,,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*,
,2003,"1,300",100,600,"2,700","11,700","1,200",500,"1,100","1,100",300,300,200,700,"1,200",100,"23,000",
,2004,"1,100",100,600,"2,500","12,400","1,200",500,"1,000","1,100",300,300,200,800,"1,200",100,"23,500",
,2005,"1,300",100,700,"2,200","12,300","1,300",500,"1,000","1,000",300,400,400,700,"1,300",200,"23,700",
,2006,"1,100",100,600,"2,300","14,000","1,300",500,"1,100",900,300,300,400,700,"1,300",200,"25,000",
,2007,"1,200",100,600,"2,400","13,400","1,400",500,"1,000",900,400,400,300,800,"1,500",200,"25,000",
,2008,"1,100",100,500,"2,100","13,600","1,300",500,800,800,300,300,300,700,"1,200",200,"23,700",
,2009,900,<50,300,"2,000","13,300","1,000",400,600,600,300,200,200,600,"1,200",200,"21,800",
,2010,900,100,400,"1,900","13,300","1,100",400,700,700,300,300,300,600,"1,300",200,"22,500",
,2011,"1,100",100,400,"2,100","14,000","1,100",500,700,700,300,400,400,600,"1,500",200,"24,000",
,2012,"1,200",100,500,"2,300","15,100","1,000",900,800,700,300,400,300,200,"1,300",200,"25,300",
,2013,"1,300",100,500,"2,600","15,300","1,200","1,000",800,800,300,300,300,200,"1,400",200,"26,200",
,2014,"1,200",100,400,"2,500","15,600","1,300","1,100",800,800,300,400,300,300,"1,700",300,"26,800",
,2015,"1,200",100,500,"2,300","16,100","1,400",900,800,800,400,300,200,400,"1,800",300,"27,400",
,2016,"1,300",100,400,"2,200","15,500","1,300",900,900,800,400,400,300,500,"1,800",300,"26,900",
,2017,"1,300",100,400,"2,100","16,500","1,300",700,900,900,400,400,300,500,"2,100",300,"28,100",
,2018,"1,600",100,500,"2,300","19,300","1,600",900,900,"1,000",500,400,300,600,"2,300",400,"32,500",
